gene_sym,binding_sites
C1QTNF9,8
C1QTNF9B,6
C1R,4
C1RL,24
C1S,7
C2,6
C20orf173,5
C20orf203,9
C20orf27,8
C20orf85,3
C20orf96,18
C21orf58,2
C21orf62,12
C21orf91,89
C22orf23,6
C22orf39,11
C22orf46,23
C2CD2,52
C2CD2L,16
C2CD3,7
C2CD4A,13
C2CD4B,2
C2CD4C,5
C2CD5,34
C2CD6,26
C2orf15,14
C2orf16,2
C2orf27A,1
C2orf42,12
C2orf49,46
C2orf50,1
C2orf66,9
C2orf68,32
C2orf69,72
C2orf72,17
C2orf73,14
C2orf74,4
C2orf76,11
C2orf78,4
C2orf80,5
C2orf83,18
C2orf88,37
C3AR1,6
C3orf14,22
C3orf18,9
C3orf33,6
C3orf36,3
C3orf38,32
C3orf52,12
C3orf56,6
C3orf62,10
C3orf70,51
C3orf80,17
C4A,2
C4B,2
C4BPA,5
C4orf17,7
C4orf19,25
C4orf3,12
C4orf33,17
C4orf36,2
C4orf45,3
C4orf46,25
C4orf51,9
C5,8
C5AR1,21
C5AR2,8
C5orf15,38
C5orf22,31
C5orf24,130
C5orf34,5
C5orf38,8
C5orf46,3
C5orf47,25
C5orf49,10
C5orf58,5
C5orf60,2
C5orf63,27
C5orf67,2
C6,7
C6orf118,10
C6orf120,48
C6orf132,3
C6orf136,15
C6orf141,11
C6orf15,8
C6orf201,4
C6orf223,25
C6orf226,1
C6orf47,18
C6orf58,6
C6orf62,39
C6orf89,16
C7,15
C7orf25,10
C7orf31,11
C7orf33,1
C7orf57,20
C7orf61,3
C7orf77,9
C8A,5
C8B,1
C8G,1
C8orf33,8
C8orf34,40
C8orf44,7
C8orf44-SGK3,39
C8orf48,4
C8orf58,26
C8orf76,7
C8orf82,2
C8orf86,17
C8orf88,10
C9,9
C9orf129,7
C9orf152,19
C9orf153,11
C9orf163,2
C9orf24,6
C9orf40,33
C9orf43,4
C9orf50,2
C9orf57,16
C9orf64,14
C9orf72,53
C9orf78,8
C9orf85,5
CA1,8
CA10,57
CA11,1
CA12,23
CA13,24
CA14,2
CA2,23
CA3,15
CA4,4
CA5A,1
CA5B,10
CA6,4
CA7,16
CA8,66
CA9,1
CAAP1,34
CAB39,68
CAB39L,14
CABCOCO1,3
CABIN1,1
CABLES1,13
CABLES2,18
CABP1,2
CABP2,5
CABP4,8
CABP5,8
CABP7,17
CABS1,3
CABYR,15
CACFD1,11
CACHD1,37
CACNA1A,18
CACNA1B,37
CACNA1C,59
CACNA1D,37
CACNA1E,85
CACNA1G,19
CACNA1H,10
CACNA1I,20
CACNA2D1,88
CACNA2D2,28
CACNA2D3,36
CACNA2D4,9
CACNB1,16
CACNB2,51
CACNB3,21
CACNB4,112
CACNG1,2
CACNG2,26
CACNG3,10
CACNG4,9
CACNG6,9
CACNG7,8
CACNG8,18
CACTIN,2
CACUL1,76
CACYBP,20
CAD,3
CADM1,74
CADM2,210
CADM3,29
CADM4,17
CADPS,41
CADPS2,22
CAGE1,7
CALB1,30
CALB2,9
CALCA,11
CALCB,13
CALCOCO1,20
CALCOCO2,7
CALCR,61
CALCRL,38
CALD1,41
CALHM1,8
CALHM2,5
CALHM3,3
CALHM4,20
CALHM5,34
CALM1,33
CALM2,24
CALM3,9
CALML4,24
CALML5,1
CALN1,82
CALR,13
CALU,55
CAMK1,11
CAMK1D,92
CAMK1G,10
CAMK2A,17
CAMK2B,16
CAMK2D,60
CAMK2G,41
CAMK2N1,29
CAMK2N2,5
CAMK4,81
CAMKK1,16
CAMKK2,42
CAMKMT,9
CAMKV,20
CAMLG,34
CAMSAP1,29
CAMSAP2,125
CAMSAP3,1
CAMTA1,151
CAMTA2,10
CAND1,53
CAND2,8
CANT1,6
CANX,53
CAP1,26
CAP2,21
CAPN1,7
CAPN10,3
CAPN11,6
CAPN12,8
CAPN14,9
CAPN15,28
CAPN2,29
CAPN3,3
CAPN5,14
CAPN6,41
CAPN7,24
CAPN8,1
CAPNS1,4
CAPNS2,6
CAPRIN1,79
CAPRIN2,50
CAPS,6
CAPS2,43
CAPSL,4
CAPZA1,45
CAPZA2,47
CAPZB,29
CARD10,8
CARD11,2
CARD14,3
CARD16,5
CARD17,6
CARD18,6
CARD19,3
CARD6,5
CARD8,17
CARD9,1
CARF,79
CARHSP1,15
CARM1,27
CARMIL1,47
CARMIL3,9
CARNMT1,40
CARNS1,12
CARS1,7
CARS2,1
CARTPT,13
CASC3,18
CASD1,48
CASK,84
CASKIN1,21
CASKIN2,13
CASP1,8
CASP10,46
CASP14,25
CASP2,30
CASP3,30
CASP4,2
CASP6,5
CASP7,31
CASP8,6
CASP8AP2,20
CASP9,11
CASQ1,14
CASQ2,11
CASR,24
CASS4,2
CAST,40
CASTOR1,4
CASTOR2,89
CASTOR3,19
CASZ1,44
CAT,13
CATSPERB,8
CATSPERE,13
CAV1,38
CAV2,46
CAV3,8
CAVIN1,14
CAVIN2,34
CAVIN3,2
CAVIN4,17
CBFA2T2,24
CBFA2T3,55
CBFB,86
CBL,72
CBLB,79
CBLIF,9
CBLL1,67
CBLL2,3
CBLN1,20
CBLN2,30
CBLN3,10
CBLN4,27
CBR1,13
CBR4,19
CBS,6
CBWD1,21
CBWD2,20
CBWD3,23
CBWD5,26
CBWD6,19
CBX1,19
CBX2,36
CBX3,41
CBX4,30
CBX5,83
CBX6,77
CBX7,27
CBX8,5
CBY1,11
CBY2,2
CC2D1A,22
CC2D1B,25
CC2D2A,9
CC2D2B,12
CCAR1,34
CCAR2,15
CCBE1,24
CCDC102A,11
CCDC102B,19
CCDC103,13
CCDC105,3
CCDC107,4
CCDC110,6
CCDC112,12
CCDC113,13
CCDC115,5
CCDC116,1
CCDC117,39
CCDC12,1
CCDC120,17
CCDC121,11
CCDC122,8
CCDC125,10
CCDC126,57
CCDC127,7
CCDC13,5
CCDC134,1
CCDC136,7
CCDC138,9
CCDC14,20
CCDC140,7
CCDC141,59
CCDC142,6
CCDC144A,11
CCDC144NL,11
CCDC146,10
CCDC148,21
CCDC149,14
CCDC15,12
CCDC150,6
CCDC152,17
CCDC157,17
CCDC158,5
CCDC162P,2
CCDC167,2
CCDC169,10
CCDC169-SOHLH2,13
CCDC170,19
CCDC172,6
CCDC174,8
CCDC175,3
CCDC177,15
CCDC178,25
CCDC179,24
CCDC18,6
CCDC180,10
CCDC181,5
CCDC182,10
CCDC184,15
CCDC185,1
CCDC186,97
CCDC187,2
CCDC190,10
CCDC191,15
CCDC198,17
CCDC22,3
CCDC24,3
CCDC25,17
CCDC28A,29
CCDC28A-AS1,30
CCDC28B,6
CCDC3,12
CCDC30,4
CCDC32,22
CCDC33,5
CCDC34,31
CCDC39,18
CCDC40,17
CCDC42,1
CCDC43,35
CCDC47,46
CCDC50,58
CCDC51,3
CCDC57,10
CCDC59,10
CCDC6,101
CCDC60,5
CCDC61,1
CCDC62,20
CCDC65,6
CCDC66,6
CCDC68,27
CCDC69,8
CCDC7,3
CCDC70,1
CCDC71,1
CCDC71L,51
CCDC73,20
CCDC74A,1
CCDC74B,2
CCDC77,5
CCDC8,4
CCDC80,23
CCDC81,4
CCDC82,38
CCDC83,15
CCDC85A,25
CCDC85C,24
CCDC86,6
CCDC87,4
CCDC88A,74
CCDC88C,20
CCDC89,15
CCDC9,1
CCDC90B,10
CCDC91,21
CCDC92,14
CCDC93,14
CCDC96,8
CCDC97,45
CCDC9B,16
CCER1,19
CCER2,3
CCK,14
CCKAR,1
CCKBR,9
CCL1,4
CCL11,9
CCL13,8
CCL14,1
CCL15,3
CCL16,17
CCL17,3
CCL18,5
CCL19,1
CCL2,15
CCL20,13
CCL21,5
CCL22,17
CCL23,7
CCL26,1
CCL28,49
CCL3L1,5
CCL4,9
CCL4L2,11
CCL5,6
CCL7,19
CCL8,10
CCM2,15
CCM2L,2
CCN1,21
CCN2,40
CCN3,15
CCN4,23
CCN5,2
CCNA1,7
CCNA2,32
CCNB1,21
CCNB2,2
CCNB3,5
CCNC,44
CCND1,48
CCND2,98
CCND3,16
CCNDBP1,14
CCNE1,23
CCNE2,42
CCNF,6
CCNG1,26
CCNG2,56
CCNH,10
CCNI,2
CCNI2,14
CCNJ,84
CCNJL,27
CCNK,28
CCNL1,31
CCNL2,12
CCNO,4
CCNP,1
CCNQ,1
CCNT1,66
CCNT2,90
CCNY,73
CCNYL1,55
CCP110,49
CCPG1,34
CCR1,14
CCR10,2
CCR2,21
CCR3,5
CCR4,3
CCR5,9
CCR6,4
CCR7,5
CCR8,1
CCR9,6
CCSAP,45
CCSER1,67
CCSER2,65
CCT2,6
CCT3,4
CCT4,8
CCT5,8
CCT6A,14
CCT6B,7
CCT7,3
CCT8,4
CCT8L2,6
CCZ1,11
CCZ1B,14
CD101,1
CD109,20
CD151,6
CD160,9
CD163,22
CD163L1,4
CD164,80
CD164L2,4
CD177,9
CD180,4
CD19,3
CD1A,4
CD1B,8
CD1C,14
CD1D,6
CD1E,26
CD2,4
CD200,15
CD200R1,26
CD200R1L,1
CD207,7
CD209,26
CD22,11
CD226,12
CD24,17
CD244,2
CD247,7
CD27,1
CD274,31
CD276,22
CD28,27
CD2AP,94
CD2BP2,1
CD300A,4
CD300C,3
CD300E,16
CD300LD-AS1,18
CD300LF,8
CD300LG,8
CD302,26
CD320,2
CD34,24
CD36,26
CD37,6
CD38,26
CD3E,12
CD3G,9
CD4,12
CD40,4
CD40LG,18
CD44,34
CD46,13
CD47,49
CD48,4
CD5,3
CD52,1
CD53,4
CD55,25
CD58,10
CD59,20
CD5L,10
CD6,5
CD63,2
CD68,2
CD69,41
CD7,2
CD72,4
CD74,5
CD79A,7
CD80,19
CD81,13
CD82,4
CD83,19
CD84,23
CD86,11
CD8A,12
CD8B,10
CD9,11
CD93,19
CD96,19
CD99,25
CD99L2,3
CDA,3
CDADC1,27
CDAN1,3
CDC123,5
CDC14A,81
CDC14B,21
CDC16,3
CDC20B,17
CDC23,34
CDC25A,39
CDC25B,7
CDC25C,3
CDC26,9
CDC27,37
CDC34,14
CDC37L1,57
CDC40,26
CDC42,28
CDC42BPA,46
CDC42BPB,26
CDC42BPG,6
CDC42EP1,11
CDC42EP3,29
CDC42EP4,15
CDC42SE1,23
CDC42SE2,43
CDC5L,24
CDC6,19
CDC7,22
CDC73,52
CDCA2,17
CDCA3,8
CDCA4,30
CDCA5,2
CDCA7,27
CDCA7L,29
CDCA8,6
CDCP1,15
CDCP2,4
CDH1,26
CDH10,21
CDH11,71
CDH12,28
CDH13,38
CDH15,8
CDH17,9
CDH18,12
CDH19,39
CDH2,45
CDH20,42
CDH22,6
CDH23,9
CDH24,11
CDH26,14
CDH3,4
CDH4,33
CDH5,20
CDH6,38
CDH7,34
CDH8,38
CDH9,24
CDHR1,18
CDHR3,15
CDHR4,2
CDIN1,47
CDIP1,17
CDIPT,6
CDK1,31
CDK10,2
CDK11A,6
CDK11B,4
CDK12,48
CDK13,56
CDK14,76
CDK15,27
CDK16,31
CDK17,99
CDK18,15
CDK19,114
CDK2,16
CDK20,7
CDK2AP1,20
CDK2AP2,3
CDK4,11
CDK5,5
CDK5R1,26
CDK5R2,15
CDK5RAP1,4
CDK5RAP2,4
CDK5RAP3,6
CDK6,169
CDK7,7
CDK8,65
CDK9,9
CDKAL1,8
CDKL1,10
CDKL2,23
CDKL3,12
CDKL4,15
CDKL5,53
CDKN1A,30
CDKN1B,59
CDKN1C,9
CDKN2A,4
CDKN2AIP,45
CDKN2AIPNL,3
CDKN2B,17
CDKN2C,10
CDKN2D,8
CDKN3,7
CDNF,14
CDO1,9
CDON,35
CDPF1,6
CDR1,3
CDR2,17
CDR2L,42
CDRT4,3
CDS1,41
CDS2,24
CDSN,8
CDT1,4
CDV3,27
CDX1,12
CDX2,6
CDY1,13
CDY1B,13
CDYL,53
CDYL2,89
CEACAM1,20
CEACAM19,4
CEACAM21,3
CEACAM4,1
CEACAM5,11
CEACAM6,16
CEACAM7,18
CEACAM8,13
CEBPA,11
CEBPB,15
CEBPD,10
CEBPE,1
CEBPG,21
CEBPZ,7
CEBPZOS,30
CECR2,54
CELA1,5
CELF1,30
CELF2,98
CELF3,38
CELF4,54
CELF5,44
CELF6,10
CELSR1,22
CELSR2,37
CELSR3,23
CEMIP,33
CEMIP2,54
CEMP1,1
CENATAC,4
CEND1,1
CENPA,15
CENPB,5
CENPBD1P,11
CENPC,9
CENPE,8
CENPF,6
CENPH,9
CENPI,20
CENPJ,12
CENPK,19
CENPL,8
CENPM,10
CENPN,15
CENPO,21
CENPP,15
CENPQ,19
CENPS,4
CENPS-CORT,3
CENPT,3
CENPU,10
CENPV,5
CENPW,4
CEP104,10
CEP112,6
CEP120,64
CEP126,16
CEP128,19
CEP135,58
CEP152,8
CEP162,14
CEP164,15
CEP170,73
CEP170B,20
CEP19,8
CEP192,16
CEP20,25
CEP250,8
CEP290,7
CEP350,127
CEP41,53
CEP43,25
CEP44,43
CEP55,25
CEP57,21
CEP57L1,23
CEP63,15
CEP68,18
CEP70,20
CEP72,11
CEP76,18
CEP78,5
CEP83,11
CEP85,32
CEP85L,60
CEP89,3
CEP95,2
CEP97,72
CEPT1,25
CER1,10
CERCAM,27
CERK,12
CERKL,16
CERS1,8
CERS2,35
CERS3,28
CERS5,7
CERS6,96
CERT1,110
CES2,7
CES3,8
CES4A,13
CES5A,6
CETN1,14
CETN2,12
CETN3,21
CETP,3
CFAP100,1
CFAP107,2
CFAP119,3
CFAP126,2
CFAP141,3
CFAP157,1
CFAP161,13
CFAP20,8
CFAP206,5
CFAP20DC,10
CFAP210,11
CFAP221,2
CFAP251,5
CFAP298,5
CFAP299,2
CFAP300,19
CFAP410,2
CFAP418,26
CFAP43,3
CFAP44,35
CFAP45,11
CFAP47,18
CFAP52,10
CFAP53,6
CFAP54,4
CFAP57,3
CFAP58,6
CFAP61,15
CFAP65,19
CFAP69,6
CFAP70,4
CFAP77,8
CFAP91,17
CFAP92,2
CFAP95,3
CFAP97,31
CFAP97D1,7
CFC1,2
CFD,2
CFDP1,20
CFH,8
CFHR1,6
CFHR2,7
CFHR3,11
CFHR4,6
CFHR5,17
CFI,4
CFL1,18
CFL2,135
CFLAR,42
CFTR,22
CGGBP1,72
CGN,25
CGNL1,30
CGREF1,8
CGRRF1,4
CH25H,6
CHAC1,24
CHAC2,16
CHAD,15
CHAF1A,10
CHAF1B,2
CHAMP1,18
CHCHD1,2
CHCHD10,7
CHCHD2,2
CHCHD3,30
CHCHD4,12
CHCHD5,1
CHCHD6,1
CHCHD7,22
CHD1,67
CHD1L,3
CHD2,56
CHD3,33
CHD4,24
CHD5,42
CHD6,66
CHD7,39
CHD8,14
CHD9,47
CHDH,3
CHEK1,32
CHEK2,2
CHERP,7
CHFR,29
CHGA,10
CHGB,12
CHI3L2,2
CHIA,3
CHIC1,127
CHIC2,19
CHID1,3
CHIT1,1
CHKA,16
CHKB,3
CHL1,75
CHM,42
CHML,23
CHMP1A,9
CHMP1B,23
CHMP2B,41
CHMP3,15
CHMP4B,15
CHMP4C,7
CHMP5,22
CHMP6,4
CHMP7,27
CHN1,26
CHN2,47
CHODL,22
CHORDC1,35
CHP1,42
CHP2,15
CHPF,12
CHPF2,3
CHPT1,10
CHRAC1,9
CHRD,7
CHRDL1,39
CHRFAM7A,6
CHRM1,19
CHRM2,29
CHRM3,4
CHRM5,10
CHRNA1,6
CHRNA10,1
CHRNA2,3
CHRNA3,13
CHRNA4,8
CHRNA5,21
CHRNA6,11
CHRNA7,18
CHRNA9,16
CHRNB1,5
CHRNB2,11
CHRNB3,2
CHRNB4,5
CHRND,1
CHRNE,14
CHRNG,5
CHST1,34
CHST10,11
CHST11,37
CHST12,2
CHST14,24
CHST15,13
CHST2,25
CHST3,23
CHST4,5
CHST5,5
CHST6,7
CHST7,13
CHST8,2
CHST9,48
CHSY1,52
CHSY3,42
CHTF8,41
CHTOP,9
CHUK,49
CHURC1,17
CIAO1,6
CIAO2A,48
CIAO2B,2
CIAPIN1,5
CIART,2
CIB1,1
CIB2,8
CIB4,1
CIBAR1,16
CIBAR2,4
CIC,23
CIDEA,5
CIDEB,7
CIDEC,1
CIITA,13
CILK1,53
CILP,14
CILP2,7
CINP,4
CIP2A,21
CIPC,41
CIR1,10
CIRBP,11
CISD1,28
CISD2,43
CISD3,7
CISH,11
CIT,45
CITED2,38
CITED4,3
CKAP2,23
CKAP2L,13
CKAP4,28
CKAP5,10
CKB,4
CKLF,8
CKLF-CMTM1,1
CKM,1
CKMT1A,1
CKMT2,12
CKS1B,13
CKS2,13
CLASP1,48
CLASP2,80
CLBA1,2
CLC,3
CLCA1,1
CLCA2,15
CLCA4,6
CLCC1,31
CLCF1,31
CLCN2,7
CLCN3,87
CLCN4,48
CLCN5,62
CLCN6,22
CLCN7,4
CLCNKA,1
CLCNKB,4
CLDN1,30
CLDN10,16
CLDN11,33
CLDN12,68
CLDN14,5
CLDN15,1
CLDN16,26
CLDN18,22
CLDN19,16
CLDN2,3
CLDN20,6
CLDN22,12
CLDN23,10
CLDN3,3
CLDN4,4
CLDN5,2
CLDN7,4
CLDN8,34
CLDN9,5
CLDND1,32
CLEC10A,3
CLEC12A,15
CLEC12B,21
CLEC14A,7
CLEC16A,15
CLEC17A,4
CLEC18A,1
CLEC19A,6
CLEC1A,30
CLEC2A,7
CLEC2B,11
CLEC2D,19
CLEC2L,3
CLEC3A,17
CLEC3B,2
CLEC4A,5
CLEC4C,6
CLEC4D,13
CLEC4E,16
CLEC4F,3
CLEC4G,6
CLEC4M,6
CLEC5A,10
CLEC6A,9
CLEC7A,18
CLEC9A,2
CLECL1,4
CLGN,19
CLHC1,19
CLIC1,7
CLIC2,16
CLIC4,32
CLIC5,56
CLIC6,15
CLINT1,29
CLIP1,49
CLIP2,25
CLIP3,41
CLIP4,46
CLK1,4
CLK2,17
CLK3,7
CLK4,23
CLLU1-AS1,4
CLMN,35
CLMP,20
CLN3,1
CLN5,16
CLN6,5
CLN8,23
CLNK,8
CLNS1A,10
CLOCK,220
CLP1,14
CLPB,5
CLPP,5
CLPSL2,2
CLPTM1,6
CLPTM1L,5
CLPX,25
CLRN1,24
CLRN3,2
CLSPN,25
CLSTN1,27
CLSTN2,23
CLSTN3,9
CLTA,20
CLTB,5
CLTC,54
CLTCL1,7
CLTRN,13
CLU,12
CLUAP1,9
CLUH,10
CLUL1,9
CLVS1,46
CLVS2,78
CLXN,17
CLYBL,5
CMA1,1
CMAS,6
CMBL,8
CMC1,6
CMC2,2
CMC4,15
CMIP,17
CMKLR1,26
CMKLR2,20
CMPK1,64
CMPK2,36
CMSS1,4
CMTM1,1
CMTM2,3
CMTM3,7
CMTM4,53
CMTM5,4
CMTM6,32
CMTM7,10
CMTM8,8
CMTR1,20
CMTR2,31
CMYA5,6
CNBD1,1
CNBD2,16
CNBP,41
CNDP1,13
CNDP2,9
CNEP1R1,49
CNFN,2
CNGA1,7
CNGA2,11
CNGA3,11
CNGB1,26
CNGB3,14
CNIH1,39
CNIH2,19
CNIH3,10
CNIH4,23
CNKSR1,2
CNKSR2,82
CNKSR3,26
CNMD,12
CNN1,7
CNN2,6
CNN3,34
CNNM1,24
CNNM2,15
CNNM3,24
CNNM4,41
CNOT1,22
CNOT10,7
CNOT11,7
CNOT2,77
CNOT3,5
CNOT4,70
CNOT6,131
CNOT6L,163
CNOT7,102
CNOT8,22
CNOT9,62
CNP,10
CNPPD1,9
CNPY1,8
CNPY2,12
CNPY3,9
CNPY4,2
CNR1,81
CNR2,4
CNRIP1,26
CNST,40
CNTD1,24
CNTF,13
CNTFR,23
CNTLN,58
CNTN1,114
CNTN2,23
CNTN3,53
CNTN4,72
CNTN5,48
CNTN6,6
CNTNAP1,33
CNTNAP2,76
CNTNAP3,23
CNTNAP3B,35
CNTNAP4,26
CNTNAP5,18
CNTRL,15
CNTROB,3
COA1,6
COA3,5
COA5,23
COA6,4
COA7,10
COA8,7
COBL,36
COBLL1,57
COCH,18
COG2,6
COG3,18
COG4,3
COG5,42
COG6,40
COG7,9
COG8,7
COIL,15
COL10A1,16
COL11A1,73
COL11A2,27
COL12A1,45
COL13A1,23
COL14A1,16
COL15A1,20
COL16A1,9
COL17A1,8
COL18A1,2
COL19A1,98
COL1A1,35
COL1A2,50
COL21A1,23
COL22A1,12
COL23A1,6
COL24A1,23
COL25A1,59
COL26A1,8
COL27A1,48
COL2A1,17
COL3A1,34
COL4A1,88
COL4A2,19
COL4A2-AS2,4
COL4A3,29
COL4A4,32
COL4A5,19
COL4A6,30
COL5A1,41
COL5A2,46
COL5A3,38
COL6A1,8
COL6A2,2
COL6A3,22
COL6A5,14
COL6A6,19
COL7A1,7
COL8A1,18
COL8A2,9
COL9A1,17
COL9A2,10
COL9A3,7
COLCA1,16
COLCA2,11
COLEC10,21
COLEC11,6
COLEC12,32
COLGALT1,9
COLGALT2,31
COLQ,13
COMMD1,1
COMMD10,9
COMMD2,22
COMMD3,5
COMMD3-BMI1,68
COMMD4,3
COMMD5,4
COMMD6,8
COMMD7,4
COMMD8,26
COMMD9,19
COMT,8
COP1,24
COPA,11
COPB1,11
COPB2,3
COPG1,9
COPG2,33
COPRS,3
COPS2,39
COPS3,15
COPS4,13
COPS5,4
COPS6,11
COPS7A,5
COPS7B,43
COPS8,16
COPS9,1
COPZ1,14
COPZ2,2
COQ10A,14
COQ10B,10
COQ2,8
COQ3,3
COQ4,4
COQ5,4
COQ6,4
COQ7,3
COQ8A,1
COQ9,5
CORIN,16
CORO1A,4
CORO1B,1
CORO1C,59
CORO2A,16
CORO2B,68
CORO6,2
CORT,2
COTL1,13
COX10,13
COX11,25
COX14,3
COX15,54
COX16,12
COX17,1
COX18,16
COX19,6
COX20,27
COX4I1,5
COX5A,19
COX6A1,1
COX6B1,2
COX6B2,3
COX6C,4
COX7A2,9
COX7A2L,10
COX7B,1
COX8A,3
COX8C,5
CP,18
CPA3,14
CPA4,23
CPA5,2
CPA6,8
CPAMD8,2
CPB1,2
CPB2,8
CPD,86
CPE,16
CPEB1,80
CPEB2,188
CPEB3,177
CPEB4,80
CPED1,37
CPLANE1,2
CPLANE2,1
CPLX1,16
CPLX2,53
CPLX3,13
CPLX4,10
CPM,26
CPN1,2
CPN2,9
CPNE1,2
CPNE2,19
CPNE3,41
CPNE4,43
CPNE5,30
CPNE6,4
CPNE7,1
CPNE8,76
CPNE9,2
CPOX,20
CPPED1,33
CPQ,9
CPS1,27
CPSF2,30
CPSF4,15
CPSF6,120
CPSF7,48
CPT1A,32
CPT1B,3
CPT2,3
CPTP,4
CPVL,1
CPXCR1,7
CPXM2,9
CPZ,1
CR1,21
CR2,4
CRABP1,1
CRABP2,9
CRACD,53
CRACDL,24
CRACR2A,2
CRACR2B,2
CRADD,16
CRAMP1,18
CRAT,4
CRB1,11
CRB2,7
CRB3,2
CRBN,17
CRCP,15
CRCT1,1
CREB1,156
CREB3,3
CREB3L1,32
CREB3L2,52
CREB3L3,11
CREB3L4,2
CREB5,156
CREBBP,66
CREBL2,50
CREBRF,216
CREBZF,107
CREG1,15
CREG2,19
CRELD1,11
CRELD2,12
CREM,59
CRH,14
CRHBP,11
CRHR1,6
CRHR2,7
CRIM1,60
CRIP3,5
CRIPT,58
CRISP1,13
CRISP2,4
CRISP3,11
CRISPLD1,71
CRISPLD2,16
CRK,20
CRKL,54
CRLF1,2
CRLF2,3
CRLF3,25
CRLS1,18
CRMP1,17
CRNKL1,12
CRNN,5
CROT,52
CRP,4
CRPPA,20
CRTAM,14
CRTAP,23
CRTC1,51
CRTC2,10
CRTC3,9
CRX,4
CRY1,32
CRY2,33
CRYAB,3
CRYBA1,4
CRYBA4,2
CRYBG1,15
CRYBG3,34
CRYGN,5
CRYGS,6
CRYL1,6
CRYM,11
CRYZ,12
CRYZL1,7
CS,26
CSAD,11
CSAG1,6
CSAG3,5
CSDC2,12
CSDE1,71
CSE1L,14
CSF1,49
CSF1R,5
CSF2,5
CSF2RA,6
CSF2RB,18
CSF3,4
CSF3R,7
CSGALNACT1,20
CSGALNACT2,55
CSH2,1
CSHL1,1
CSK,16
CSKMT,7
CSMD1,54
CSMD2,35
CSMD3,63
CSN1S1,4
CSN2,18
CSN3,2
CSNK1A1,53
CSNK1A1L,10
CSNK1D,38
CSNK1E,19
CSNK1G1,41
CSNK1G2,8
CSNK1G3,76
CSNK2A1,28
CSNK2A2,12
CSNK2B,7
CSPG4,8
CSPG5,11
CSPP1,24
CSRNP1,26
CSRNP2,35
CSRNP3,91
CSRP1,13
CSRP2,15
CSRP3,8
CST11,4
CST3,5
CST4,2
CST5,1
CST6,1
CST8,3
CST9,8
CST9L,4
CSTA,12
CSTB,5
CSTF1,10
CSTF2,27
CSTF2T,22
CSTF3,25
CSTPP1,7
CT45A1,2
CT45A10,2
CT45A5,2
CT45A9,2
CT47A1,3
CT47A10,3
CT47A11,3
CT47A12,3
CT47A2,3
CT47A3,3
CT47A4,3
CT47A5,3
CT47A6,3
CT47A7,3
CT47A8,3
CT47A9,3
CT47B1,2
CT55,7
CT62,5
CTAG1A,1
CTAG1B,1
CTAGE1,18
CTAGE15,3
CTAGE4,4
CTAGE6,2
CTAGE8,3
CTAGE9,3
CTBP1,18
CTBP2,52
CTBS,30
CTC1,7
CTCF,38
CTCFL,34
CTDNEP1,13
CTDP1,6
CTDSP1,28
CTDSP2,25
CTDSPL,43
CTDSPL2,88
CTF1,3
CTH,15
CTHRC1,15
CTIF,13
CTLA4,17
CTNNA1,23
CTNNA2,35
CTNNA3,75
CTNNAL1,5
CTNNB1,55
CTNNBIP1,8
CTNND1,68
CTNND2,68
CTNS,10
CTPS1,9
CTPS2,12
CTR9,10
CTRL,1
CTSA,15
CTSB,9
CTSC,20
CTSD,5
CTSE,9
CTSF,2
CTSG,3
CTSK,15
CTSL,1
CTSO,17
CTSS,19
CTSV,19
CTSW,6
CTSZ,1
CTTN,20
CTTNBP2,56
CTTNBP2NL,71
CTU1,4
CTU2,4
CTXN1,6
CTXN2,18
CTXN3,14
CUBN,7
CUEDC1,17
CUL1,23
CUL2,40
CUL3,95
CUL4A,32
CUL4B,50
CUL5,52
CUL9,3
CUTC,6
CUX1,78
CUX2,40
CUZD1,2
CWC15,15
CWC22,18
CWC25,25
CWC27,38
CWF19L1,7
CWF19L2,5
CWH43,2
CX3CL1,8
CX3CR1,15
CXADR,78
CXCL1,13
CXCL10,8
CXCL11,20
CXCL12,38
CXCL13,11
CXCL14,21
CXCL16,8
CXCL17,3
CXCL2,14
CXCL3,10
CXCL5,32
CXCL6,19
CXCL8,18
CXCL9,25
CXCR1,3
CXCR2,2
CXCR3,5
CXCR4,23
CXCR5,13
CXCR6,7
CXorf38,7
CXorf58,4
CXorf66,3
CXXC1,5
CXXC4,89
CXXC5,37
CYB561,9
CYB561A3,12
CYB561D1,32
CYB561D2,4
CYB5A,11
CYB5B,26
CYB5D1,12
CYB5D2,7
CYB5R2,10
CYB5R3,12
CYB5R4,31
CYB5RL,8
CYBB,20
CYBC1,4
CYBRD1,70
CYC1,2
CYCS,24
CYFIP1,10
CYFIP2,17
CYGB,6
CYHR1,7
CYLC1,4
CYLC2,5
CYLD,40
CYP11B1,11
CYP17A1,3
CYP19A1,13
CYP1A1,6
CYP1A2,20
CYP1B1,22
CYP20A1,58
CYP21A2,9
CYP24A1,23
CYP26A1,5
CYP26B1,63
CYP27B1,11
CYP27C1,16
CYP2B6,14
CYP2C18,10
CYP2C19,4
CYP2C8,7
CYP2C9,2
CYP2E1,4
CYP2F1,4
CYP2J2,4
CYP2R1,8
CYP2S1,16
CYP2U1,35
CYP2W1,9
CYP39A1,17
CYP3A4,11
CYP3A43,2
CYP3A5,13
CYP3A7,7
CYP3A7-CYP3A51P,2
CYP46A1,4
CYP4A11,4
CYP4A22,11
CYP4B1,4
CYP4F11,11
CYP4F2,4
